Paraphrase,Question,Answer,,,,,,
What is the email of the lecturer of natural languge processing?,What is the email of natural language processing's lecturer,joberant@cs.tau.ac.il,,,,,,
Who teachs calculus 1a?,Who is the lecturer of calculus 1a,Itai Lundner#Daniel Rosen#Rami Katz#Itamar Rauch#Nachshon Yaakov Ailey#Yuli Edelman#Ud Shabtai#Yacov Yakubov#Yaron Osterover,,,,,,
What courses does Amir Benbenishty Shpilka teach?,what courses are taught by Amir Benbenishty Shpilka,Research pearls in theoretical computer science 2,Topics in Theory of Computer Science,Advanced Topics in Theory of Computer Science,Computational Complexity,,,
Who teach in Zimbalista?,what lecturers teach in Zimbalista,Noam Mizrachi,,,,,,
Where are the courses in Enginiring on Friday?,In which building there are courses in Engineering on Friday,Software Engineering,Wolfson Engineering,,,,,
Which courses in Law are on friday before 13:00?,What courses in Law on wednesday start before 13:00?,Thesis Workshop,Ph.D. Colloquium,Licensing of Intellectual Property,"Politics, Economics and Society",Law and History,Legal Theory and Methodology Workshop,Law  and Society
What is the last course in Dach on monday?,What course is the latest on monday in Dach,Organic Chemistry 1,,,,,,
What does Mr. Kra teach?,What does Baruch Kra teach?,Investigative journalism,,,,,,
Which course in Engineering does Mr. Golan teach?,what does Or Golan teach in Engineering,Mathematical Supplement for Physics,,,,,,
Which courses in Economics are when biology ends??,what courses in Economics start when cell biology ends?,Game Theory and Economics of Information II#Introduction to Statistics for Economists - A#Intermediate Micro C#Foreign Trade and Foreign Direct Investment#Introduction to Financial Economics#Extended Seminar#Phd Students Workshop#Intermediate Micro - B#Micro Economic Theory#Theory and Practice of Voting#Topics in Empirical Corporate Finance#Intermediate Micro - A#Macro Economics-a#Family Macroeconomics#Game Theory and Economics of Information I,,,,,,
Courses in macro on Tuesday - what lecturers teach?,what lecturers teach macro on Tuesday ,Ido Moshe Izdorfer#Tamar Sagiv#Itamar Avni#Assaf Cohen#Andrey Perlin#Yaniv Yedid Levy#Moshe Chazan#Yoni Ben-Bashat,,,,,,
On which day the courses on violin take place?,on which days there are courses in Violin,4,None,,,,,
Who is the lecturer that teaches about Korea?,who teaches about korea?,Liora Rabak Tzarfati,,,,,,
On Sunday a course takes place on Dan David on 4 pm. what course is it?,what course is taught in dan david at 16:00 on sunday?,Advanced Russian#The Ancient World: a User?s Guide#Central Themes in the Study of Indian Buddhism#Advanced English II for Humanities Students#Digital Humanities#Contaminant Transport in the Environment#Sanskrit First Year#Extended Introduction to Computer Science#Introduction to Waves and Optics,,,,,,
Where the course about the World War takes place,In which room World War is taught?,Gilman 449,Rosenberg 209,,,,,
In Britania building  there are computer science courses. Which of them?,Which courses in computer sciences are taught in Britania,Seminar - Topics in Bioinformatics 1,,,,,,
Gottlieb teach in Sharett. What courses?,What courses do Gottlieb teach in Sharett,Processes in the Group,,,Research Methods,,,
Which courses on psychology start after 6:00 evening?,What psychology courses start after 6 pm?,"Research Methods#Clinical Supervision in Child Interviewing#Instruction in Psychotherapy#Brain, Behavior &amp; Immunity: Susceptibility to Diseases-A#Information: Perceiving, Elaborating,Representing &amp; Storing#Cognitive Psychology: Problem Solving Creativity",,,,,,
I am interested in course in brain science on Tuesday,What is the earliest course in brain science on tuesday,System Neuroscience,,,,,,
Remember lecturer of the latest course on thursday? I need  the his email,what's the email of the lecturer of the latest course on thursday,meishar@gmail.com,anavaorl@post.tau.ac.il,#,,,,
Who does assist the students of Algebra B1 course?,Who is the teaching assitant of Algebra B 1,Mark Schusterman,,,,,,
There are courses which are sightseeing. In what departments?,What departments has courses which are sightseeing,Environmental studies#Life Sciences #Humanities ,,,,,,
" On the second semester, there are courses about  Image Processing. ",What courses about Image Processing are taught on the second semester?,"Fundamentals of Computer Graphics, Vision and Image Processing",Mathematical Methods for Image Processing & Analysis 2,Advanced Laboratory in Image Processing,Medical Image Processing (1),Medical Image Processing,,
There is an assistant of Appelbaum's course on cryptography. Who is he?,who is the teaching assistant of Appelbaum's course on cryptography,Matan Orland,,,,,,
Some courses in cinema end before 11. What are they?,what courses in cinema end before 11?,Synopsis for a Television Series#Israeli Cinema - Exercise#Workshop Equipment for Use#Writing for New Media#Alternative formats for television and for internet series#Developing an Idea for a Network / Transmedia Series#Writing for Television 2#The Dramatic Moment 1#Film and Philosophy: Interconnections,,,,,,
There are courses on sexuality on tuesday. What are they?,What courses are there on sexuality on tuesday,"The Arrows of Eros: Youth, Love and Sexuality in the Classical World",Eros and Sexuality in Islamic Art,Feministically Queer: Between Gender and Sexuality,The History of Gender and Sexuality: Women Men and Children - 1800-Present,,,
Some courses in philosophy are taught by doctors. How many?,How many courses in philosophy are taught by doctors?,20,,,,,,
Some lecturers teach at the music department. How many?,How many lecturers teach at the music department?,83,,,,,,
There is a practical work in gender. In what sesmster is it?,In what semester the practical work in gender?,2,,,,,,
There is teaching about food in literature. who does it?,who teach about food in literature,Yehiel Zaban,,,,,,
There are courses on Tarantino? when do they take place?,When are the courses on Tarantino?,"(3, 1600)#(5, 1400)",,,,,,
There is a Talmudic workshop. When is it?,When is the Talmudic workshop?,"(2, 1800)#(4, 1800)",,,,,,
Hershkowitz who teachs anatomy has a phone. What is it?,what is the phone of Hershkowitz who teachs anatomy?,03-6407502#03-6407505,,,,,,
"There is a course called ""Managing Treatment in the Thecnological Age"". who teaches it?","who teaches ""Managing Treatment in the Thecnological Age""",Sigalit Warshavsky,,,,,,
Some Computer Science cources are on Tuesday. Which ones?,Which Computer Science cources are on Tuesday?,Workshop in Information Security#Advanced Topics in Programing#Computer Science Learning in the Community#Computational  Genomics#Automata Logic and Games#Automatic Verification of Systems#Advanced Topics in Systems Biology#Extended Introduction to Computer Science#Data Structures#Advanced Course in Natural Language Processing#Algorithms and Applications in Social Networks#Advanced Topics in Theory of Computer Science#Workshop in Computer Science#Space Bounded Computation#Foundations of Data Mining#Probability and Statistics#Operating Systems#Software Project#Software 1#Discrete Mathematics#Algorithms#Workshop in Data Science#Data-Base Systems#Seminar on differential privacy#Seminar in Symbolic Execution for Program Testing#Compilation#Introduction to Modern Cryptography#Advanced Topics in Computational Vision#Logic for Computer Science#Algorithms in Action#Computational Complexity#Workshop in Algorithms for Persistent Memory#Algorithms for analysis of big data in biology and medicine#Analysis of Algorithms#Advanced Seminar in Structural Bioinformatics#Machine Learning Based Algorithms in Structural Biology and Drug Design,,,,,,
Gilad Amir has an office. Where is it?,Where is Gilad Amir office?,None,,,,,,
There is a Seminar - Topics in Bioinformatics 1  in first semester. Where does it takes place?,Where Seminar - Topics in Bioinformatics 1 takes place in first semester?,Britania 222,,,,,,
 Some courses in computer sciences in first semester are after 16:00. Which ones?, Which cources in computer sciences in first semester are after 16:00?,"Workshop in program analysis#Workshop in Information Security#Advanced Seminar in Algorithms#Advanced Topics in Programing#Introduction to Machine Learning#Computer Science Learning in the Community#Advanced Topics in Machine Learning-Algorithmic Game Theory#Automata Logic and Games#Communication Networks -#Extended Introduction to Computer Science#Computational Geometry#Seminar - Topics in Bioinformatics 1#Deep Learning#Data Structures#Algorithmic Game Theory Seminar#Advanced Topics in Algorithms#Advanced Topics in Computational Geometry#Advanced Topics in Computer Software#Advanced Topics in Computational Vision#Advanced Seminar in Programming Languages#Foundations of Mathematics and Mechanical Mathematical Reasoning#Error Correcting Codes#Advanced Topics in Logics and Formal Methods#Advanced Topics in Algorithms#Workshop in electronic-band and cloud-based eHealth development#Workshop in Software Models#Workshop in Data-Centered Crowdsourcing#Computer Structure#Foundations of Data Mining#Probability and Statistics#Operating Systems#Software Project#Software 1#Avanced Topics in Computational Genomics#Advanced Seminar in Distributed and Parallel Computing#Seminar in#Topics in Software and Systems Modeling#Discrete Mathematics#Seminar - Topics in Bioinformatics 2#Seminar in Selected Topics in Logic in Computer Science#Advanced Seminar in Computer Graphics#Algorithms#Data-Base Systems#Seminar#Advanced Topics in Multicore Architecture and Software Systems#Compilation#Advanced Analysis of Programming#Computational Models#Introduction to Modern Cryptography#Advanced Topics in Systems Biology#First Steps in Research of Outstanding Students#Logic for Computer Science#""Digital Signal Processing""#Advanced Topics in Cryptography#Foundations of Cryptography#Computational  Genomics#Computational Complexity#Advanced Topics in Machine Learning#Workshop in Algorithms for Persistent Memory#Workshop in Computer Science#Algorithms for analysis of big data in biology and medicine#Advanced Seminar in Nlp#Analysis of Algorithms#Networks and Markets#Advanced Topics in Web Data Management#Advanced Computer Systems",,,,,,
